,City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude
234,buala,SB,80.37,83,16,6.73,-8.145,159.5921
235,hovd,MN,83.37,17,12,7.94,48.0056,91.6419
236,kawalu,ID,73.15,94,100,2.39,-7.3817,108.2082
237,phonhong,LA,81.23,85,100,2.57,18.5007,102.4166
238,eyl,SO,89.44,44,100,29.08,7.9803,49.8164
239,charters towers,AU,60.8,51,4,11.1,-20.1,146.2667
240,kudligi,IN,77.52,71,100,13.58,14.9,76.3833
241,bacolod,PH,80.1,84,100,4.07,10.6667,122.95
242,hambantota,LK,88.14,66,40,14.97,6.1241,81.1185
243,bara,NG,89.78,47,75,9.84,10.3744,10.7288
244,nikolsk,RU,75.4,69,81,2.33,53.7189,46.0712
245,norman wells,CA,54.36,81,97,7.14,65.282,-126.8329
246,samut songkhram,TH,83.44,74,100,3.89,13.4,99.9583
247,waipawa,NZ,40.55,88,6,1.25,-41.4122,175.5153
248,caxito,AO,85.32,44,12,3.76,-8.5785,13.6643
249,assiniboia,CA,56.7,62,18,9.42,49.6334,-105.9845
250,chifeng,CN,63.34,90,100,5.59,42.2683,118.9636
251,codajas,BR,70.74,97,17,2.13,-3.8367,-62.0569
252,san quintin,MX,66.81,78,14,6.73,30.4833,-115.95
253,guarda,PT,54.23,68,97,7.23,40.5373,-7.2658
254,am timan,TD,96.08,32,40,3.38,11.0297,20.2827
255,bambanglipuro,ID,79.36,79,97,12.44,-7.95,110.2833
256,tombouctou,ML,105.6,15,4,16.17,20.0,-3.0
257,portobelo,PA,75.96,90,100,7.87,9.55,-79.65
258,haldwani,IN,102.92,20,3,10.96,29.2167,79.5167
259,itarema,BR,76.8,77,41,13.11,-2.9248,-39.9167
260,hede,CN,83.79,70,87,8.63,33.7681,120.2517
261,korla,CN,95.95,11,70,9.48,41.7597,86.1469
262,brae,GB,53.55,92,100,25.88,60.3964,-1.353
263,vilaka,LV,68.47,43,1,5.59,57.1846,27.6722
264,diffa,NE,96.98,27,86,3.98,13.3154,12.6113
265,bathurst,AU,41.97,85,2,1.01,-33.4166,149.5806
266,huicungo,PE,68.97,91,96,0.78,-7.2833,-76.8
267,luanda,AO,75.2,64,75,4.61,-8.8368,13.2343
268,seymchan,RU,53.78,77,43,6.49,62.8833,152.4333
269,necochea,AR,40.62,62,81,8.55,-38.5473,-58.7368
270,voiron,FR,86.2,61,74,3.0,45.3639,5.5921
271,gorontalo,ID,76.19,93,100,2.15,0.5412,123.0595
272,westport,US,64.56,94,100,14.97,41.1415,-73.3579
273,constitucion,CL,52.03,78,100,10.98,-35.3333,-72.4167
274,kavaratti,IN,82.81,79,99,20.85,10.5669,72.642
275,curuguaty,PY,64.63,77,40,2.77,-24.4694,-55.6945
276,viedma,AR,35.89,73,56,6.38,-40.8135,-62.9967
277,mayo,US,71.98,86,100,0.0,38.8876,-76.5119
278,novikovo,RU,65.16,86,100,1.05,51.1537,37.8879
279,kaitangata,NZ,35.22,85,1,4.27,-46.2817,169.8464
280,rocha,UY,47.1,66,99,12.26,-34.4833,-54.3333
281,mount isa,AU,67.77,37,0,9.22,-20.7333,139.5
282,koungou,YT,82.11,61,0,20.71,-12.7336,45.2042
283,poim,RU,74.79,73,55,9.33,53.0264,43.1872
284,baran,IN,99.01,32,51,2.91,25.1,76.5167
285,kirya,TZ,85.39,32,45,15.19,-3.9167,37.4833
286,carutapera,BR,73.27,95,97,4.18,-1.195,-46.02
287,bathsheba,BB,83.01,78,20,11.5,13.2167,-59.5167
288,limbang,MY,84.31,84,51,2.13,4.75,115.0
289,hualmay,PE,60.91,82,90,5.14,-11.0964,-77.6139
290,gambela,ET,94.17,37,99,2.98,8.25,34.5833
291,vera cruz,BR,68.23,82,98,5.46,-12.6333,-41.0333
292,nome,US,44.67,93,100,21.85,64.5011,-165.4064
293,pacific grove,US,60.48,82,0,1.99,36.6177,-121.9166
294,hervey bay,AU,59.02,79,2,1.01,-25.2986,152.8535
295,obo,CF,89.28,43,5,3.13,5.3998,26.4869
296,kalmunai,LK,83.91,72,100,8.61,7.4167,81.8167
297,nerchinskiy zavod,RU,67.82,62,75,2.82,51.3088,119.61
298,saint george,US,75.79,17,0,4.61,37.1041,-113.5841
299,flin flon,CA,51.31,60,36,6.31,54.7682,-101.865
300,walvis bay,NA,62.1,52,0,7.76,-22.9575,14.5053
301,ekuvukeni,ZA,58.69,63,55,3.6,-28.4675,30.1551
302,bentiu,SS,101.73,25,2,1.86,9.2333,29.8333
303,carmen,MX,78.84,83,40,4.61,18.6333,-91.8333
304,nantucket,US,64.54,84,0,16.11,41.2835,-70.0995
305,vila franca do campo,PT,67.19,73,54,9.64,37.7167,-25.4333
306,kismayo,SO,81.27,69,80,19.22,-0.3582,42.5454
307,torrington,US,60.57,97,100,1.01,41.8007,-73.1212
308,mahenge,TZ,73.96,41,59,4.45,-8.6833,36.7167
309,buchanan,LR,79.5,80,100,2.57,5.8808,-10.0467
310,iqaluit,CA,38.7,68,0,2.93,63.7506,-68.5145
311,bethel,US,63.03,94,100,6.91,41.3712,-73.414
312,marawi,PH,70.16,95,86,1.28,7.9986,124.2928
313,saint anthony,US,67.93,73,0,6.91,45.0205,-93.218
314,ankazoabo,MG,81.55,20,0,5.95,-22.2833,44.5167
315,iwaki,JP,72.77,90,100,2.68,37.05,140.8833
316,corrente,BR,74.46,90,100,2.71,-3.7367,-43.3394
317,roma,US,67.87,89,83,5.01,43.2128,-75.4557
318,qaracala,AZ,97.92,17,0,6.78,39.8132,48.9523
319,ryki,PL,73.81,47,1,13.47,51.6257,21.9327
320,talkha,EG,93.24,28,0,16.37,31.0539,31.3779
321,remedios,CU,72.52,83,54,6.87,22.4947,-79.5458
322,berlevag,NO,44.6,87,75,13.8,70.8578,29.0864
323,shemysheyka,RU,82.02,50,6,7.34,52.892,45.3928
324,kununurra,AU,78.78,27,3,4.61,-15.7667,128.7333
325,moussoro,TD,100.18,22,40,6.22,13.6408,16.4901
326,meadow lake,US,62.67,91,100,5.55,34.8014,-106.5436
327,skala fourkas,GR,84.99,53,1,6.17,39.9998,23.3841
328,port hedland,AU,73.45,60,0,4.61,-20.3167,118.5667
329,hasaki,JP,70.29,91,68,6.38,35.7333,140.8333
330,derzhavinsk,KZ,82.13,36,5,20.62,51.1,66.3167
331,marsh harbour,BS,77.38,71,34,16.8,26.5412,-77.0636
332,omboue,GA,78.46,63,8,10.54,-1.5746,9.2618
333,juneau,US,49.21,97,100,0.0,58.3019,-134.4197
334,jiuquan,CN,87.12,17,0,14.61,39.7432,98.5174
335,mitsamiouli,KM,79.61,62,3,12.37,-11.3847,43.2844
336,verkhniy mamon,RU,80.67,49,64,8.93,50.1635,40.3832
337,lebu,CL,46.78,76,100,5.12,-37.6167,-73.65
338,te anau,NZ,31.35,92,77,1.07,-45.4167,167.7167
339,rawson,AR,31.73,63,0,8.39,-43.3002,-65.1023
340,sisimiut,GL,35.15,99,100,3.87,66.9395,-53.6735
341,garmsar,IR,100.85,9,2,13.6,35.2182,52.3409
342,manzanillo,CU,73.42,94,33,7.27,20.3433,-77.1167
343,russell,US,75.0,100,0,0.0,32.3502,-85.1999
344,guane,CU,73.4,92,57,4.56,22.2025,-84.0875
345,lloydminster,CA,52.47,81,100,4.45,53.2835,-110.0016
346,sungairaya,ID,81.25,77,83,4.63,0.7,108.9
347,valentin gomez farias,MX,68.99,58,89,8.52,28.2167,-106.5833
348,trapani,IT,93.27,35,0,8.63,37.8333,12.6667
349,margate,GB,72.1,68,0,5.99,51.3813,1.3862
350,pangnirtung,CA,45.28,58,13,0.67,66.1451,-65.7125
351,kodinsk,RU,76.5,29,80,5.59,58.6881,99.1844
352,karratha,AU,75.6,55,0,7.72,-20.7377,116.8463
353,sur,OM,102.83,39,0,6.2,22.5667,59.5289
354,mattru,SL,79.14,81,99,1.63,7.6244,-11.8332
355,dong hoi,VN,87.33,69,100,11.14,17.4833,106.6
356,naples,IT,88.61,62,0,8.05,40.8333,14.25
357,cabra,ES,72.66,44,0,1.01,37.4725,-4.4421
358,east london,ZA,71.33,68,83,19.46,-33.0153,27.9116
359,bilibino,RU,50.31,46,10,5.53,68.0546,166.4372
360,quatre cocos,MU,77.09,61,12,12.77,-20.2078,57.7625
361,kimberley,ZA,58.06,53,100,17.87,-28.7323,24.7623
362,kuri,KR,83.88,60,24,4.0,37.5986,127.1394
363,kota kinabalu,MY,82.38,78,20,7.0,5.9749,116.0724
364,naze,JP,77.16,90,2,7.87,28.3667,129.4833
365,dovolnoye,RU,75.38,52,58,9.51,54.4958,79.6671
366,port blair,IN,84.09,73,98,13.56,11.6667,92.75
367,mountain home,US,47.68,66,0,6.91,43.133,-115.6912
368,labuhan,ID,82.71,66,98,6.93,-6.8844,112.2051
369,trairi,BR,74.61,82,60,9.04,-3.2778,-39.2689
370,aksarka,RU,76.32,53,47,11.12,66.5606,67.7975
371,deputatskiy,RU,44.29,88,100,9.26,69.3,139.9
372,los llanos de aridane,ES,67.75,87,75,6.91,28.6585,-17.9182
373,xapuri,BR,68.61,81,96,1.1,-10.6517,-68.5044
374,portage,US,75.74,74,0,4.61,41.1667,-81.1998
375,tarabuco,BO,37.9,91,80,4.09,-19.1667,-64.9167
376,boromo,BF,90.19,46,75,6.82,11.75,-2.9333
377,at-bashi,KG,70.38,43,97,11.99,41.1702,75.8106
378,puerto escondido,MX,77.83,69,100,3.44,15.85,-97.0667
379,rabaul,PG,81.05,78,100,8.1,-4.1967,152.1721
380,jalu,LY,93.52,19,0,5.77,29.0331,21.5482
381,sitka,US,48.09,87,100,0.0,57.0531,-135.33
382,isangel,VU,68.97,70,58,8.21,-19.55,169.2667
383,college,US,55.35,83,75,5.75,64.8569,-147.8028
384,kirakira,SB,79.86,83,51,7.61,-10.4544,161.9205
385,riachao das neves,BR,72.25,55,51,3.24,-11.7461,-44.91
386,goure,NE,95.02,26,39,4.09,13.9835,10.2704
387,micheweni,TZ,79.21,71,22,18.77,-4.9667,39.8333
388,turukhansk,RU,86.25,23,3,9.73,65.8167,87.9833
389,aksay,RU,88.02,51,43,7.0,47.26,39.87
390,cravo norte,CO,71.67,95,18,3.15,6.3017,-70.2041
391,talnakh,RU,85.21,26,73,13.42,69.4865,88.3972
392,tuy hoa,VN,84.11,76,85,9.31,13.0833,109.3
393,lamu,KE,82.62,77,72,20.11,-2.2717,40.902
394,fort nelson,CA,51.49,94,100,5.41,58.8053,-122.7002
395,talaya,RU,49.66,90,100,4.59,61.3833,152.75
396,manturovo,RU,64.29,53,99,8.97,58.3353,44.7619
397,acajutla,SV,76.03,83,96,5.99,13.5928,-89.8275
398,emba,KZ,92.7,22,99,14.7,48.8264,58.1442
399,baykit,RU,79.84,25,7,8.79,61.67,96.37
400,bure,ET,72.79,53,56,4.05,10.7,37.0667
401,guerrero negro,MX,67.69,71,2,7.61,27.9769,-114.0611
402,broome,US,66.54,86,75,6.91,42.2506,-75.833
403,mubi,NG,89.01,42,99,4.61,10.2676,13.2644
404,karpathos,GR,85.96,48,0,26.46,35.507,27.2132
405,lac du bonnet,CA,50.85,96,63,5.03,50.2536,-96.0612
406,camacha,PT,67.42,56,75,9.22,33.0833,-16.3333
407,pyay,MM,88.99,55,82,7.67,18.8167,95.2167
408,rampur,IN,107.04,17,2,8.43,28.8167,79.0333
409,los andes,CL,41.02,85,100,1.3,-32.8337,-70.5983
410,lima,PE,59.25,88,100,5.75,-12.0432,-77.0282
411,beira,MZ,77.09,73,20,9.22,-19.8436,34.8389
412,mulchen,CL,36.57,72,100,3.02,-37.7167,-72.2333
413,lumsden,CA,54.01,85,5,7.85,50.6501,-104.8678
414,vila velha,BR,67.95,89,0,3.44,-20.3297,-40.2925
415,kiama,AU,54.25,76,3,5.99,-34.6833,150.8667
416,tautira,PF,78.31,75,24,10.94,-17.7333,-149.15
417,boa vista,BR,75.18,88,75,2.3,2.8197,-60.6733
418,abu dhabi,AE,113.02,12,0,10.36,24.4667,54.3667
419,urengoy,RU,79.75,46,75,9.55,65.9667,78.3667
420,saint-francois,FR,81.84,54,40,5.75,46.4154,3.9054
421,saldanha,ZA,63.55,70,55,5.64,-33.0117,17.9442
422,honiara,SB,77.56,87,12,5.79,-9.4333,159.95
423,wencheng,CN,90.9,59,84,13.33,33.0559,113.7978
424,totness,SR,76.95,86,87,6.46,5.8833,-56.3167
425,denpasar,ID,82.06,83,20,13.8,-8.65,115.2167
426,ostrovnoy,RU,55.13,61,69,10.49,68.0531,39.5131
427,kidal,ML,105.01,10,10,10.42,18.4411,1.4078
